osm_id,oneway,lanes,road_type,half_of_one,total_width,non_zero_means,classification,DotRef,DotRef_Lts,width
3186912,None,2,primary,None,12.30,None,6,3186912,primary,6.30
3186914,None,2,primary,None,12.30,0.00,5,3186914,primary,6.30
3186915,None,2,primary,None,12.30,0.00,5,3186915,primary,6.30
3186917,None,2,primary,None,12.30,0.00,5,99434,DotRef,6.30
3186918,None,2,primary,None,12.30,22.90,3b,37122,DotRef,6.30
3186919,None,1,primary,None,9.15,0.00,5,37122,DotRef,3.15
3186920,None,2,primary,None,12.30,None,6,3186920,primary,6.30
3186921,None,2,primary,None,12.30,0.00,5,37122,DotRef,6.30
3186922,None,1,primary,None,9.15,0.00,5,3186922,primary,3.15
3186923,None,2,primary,None,12.30,0.00,5,99434,DotRef,6.30
3186925,None,5,primary,None,21.75,12.10,3a,57768,DotRef,15.75
3186926,None,1,primary,None,9.15,8.30,6,8291,DotRef,3.15
3186927,None,2,primary,None,12.30,0.00,5,28319,DotRef,6.30
3186930,None,4,primary,None,18.60,12.40,4a,58090,DotRef,12.60
3186936,None,3,primary,None,15.45,7.30,6,17027,DotRef,9.45
3186937,None,2,primary,None,12.30,7.00,6,17027,DotRef,6.30
3186938,None,2,primary,None,12.30,7.00,6,17027,DotRef,6.30
3186939,None,1,primary,None,9.15,12.20,3a,17027,DotRef,3.15
3188526,None,2,primary,None,12.30,10.70,1a,47761,DotRef,6.30
3188527,None,2,primary,None,12.30,7.20,6,47761,DotRef,6.30
3188528,None,2,primary,None,12.30,7.60,6,17673,DotRef,6.30
3218988,None,2,primary,None,12.30,14.40,1a,28878,DotRef,6.30
3220128,None,2,primary,None,12.30,0.00,5,3220128,primary,6.30
3220129,None,2,primary,None,12.30,0.00,5,3220129,primary,6.30
3220130,None,2,primary,None,12.30,0.00,5,3220130,primary,6.30
3220131,None,2,primary,None,12.30,0.00,5,3220131,primary,6.30
3220132,None,2,primary,None,12.30,0.00,5,3220132,primary,6.30
3242878,None,2,primary,None,12.30,0.00,5,18600,DotRef,6.30
3261275,None,1,primary,None,9.15,10.50,3a,79994,DotRef,3.15
3261276,no,4,primary,None,18.60,10.00,2a,79994,DotRef,12.60
3263225,None,2,primary,None,12.30,None,6,36147,DotRef,6.30
3263226,None,2,primary,None,12.30,None,6,18396,DotRef,6.30
3265646,None,1,primary,None,9.15,0.00,5,3265646,primary,3.15
3297358,None,1,primary,None,9.15,13.50,1a,46923,DotRef,3.15
3318282,None,2,primary,None,12.30,None,6,7067,DotRef,6.30
3318283,None,2,primary,None,12.30,None,6,37124,DotRef,6.30
3318285,None,2,primary,None,12.30,None,6,26435,DotRef,6.30
3318286,None,2,primary,None,12.30,None,6,37124,DotRef,6.30
3319515,None,2,primary,None,12.30,7.60,6,8438,DotRef,6.30
3344903,None,2,primary,None,12.30,8.60,6,16860,DotRef,6.30
3344905,None,2,primary,None,12.30,8.60,6,56691,DotRef,6.30
3344906,None,1,primary,None,9.15,9.40,6,56691,DotRef,3.15
3361580,None,2,primary,None,12.30,8.20,6,16851,DotRef,6.30
3361596,None,2,primary,None,12.30,7.80,6,26912,DotRef,6.30
3363128,None,2,primary,None,12.30,7.30,6,18605,DotRef,6.30
3365870,None,2,primary,None,12.30,7.40,6,37264,DotRef,6.30
3399265,None,1,primary,None,9.15,None,6,46930,DotRef,3.15
3401344,None,2,primary,None,12.30,0.00,5,26653,DotRef,6.30
3401756,None,2,primary,None,12.30,7.10,6,36672,DotRef,6.30
3401759,None,2,primary,None,12.30,16.30,2a,46666,DotRef,6.30
3451035,None,2,primary,None,12.30,7.90,6,56660,DotRef,6.30
3469038,None,2,primary,None,12.30,7.20,6,8477,DotRef,6.30
3469515,None,2,primary,None,12.30,0.00,5,3469515,primary,6.30
3469717,None,2,primary,None,12.30,0.00,5,3469717,primary,6.30
3485535,None,2,primary,None,12.30,0.00,5,3485535,primary,6.30
3485537,None,2,primary,None,12.30,0.00,5,3485537,primary,6.30
3485908,None,2,primary,None,12.30,0.00,5,3485908,primary,6.30
3489841,None,2,primary,None,12.30,0.00,5,3489841,primary,6.30
3489844,None,2,primary,None,12.30,0.00,5,3489844,primary,6.30
3493996,None,2,primary,None,12.30,0.00,5,3493996,primary,6.30
3494696,None,2,primary,None,12.30,0.00,5,3494696,primary,6.30
3494697,None,2,primary,None,12.30,0.00,5,3494697,primary,6.30
3494851,None,2,primary,None,12.30,0.00,5,3494851,primary,6.30
3494852,None,2,primary,None,12.30,0.00,5,3494852,primary,6.30
3494853,None,2,primary,None,12.30,0.00,5,3494853,primary,6.30
3494855,None,2,primary,None,12.30,0.00,5,3494855,primary,6.30
3494856,None,2,primary,None,12.30,0.00,5,3494856,primary,6.30
